Year,Month,Day,ACCESS1-3
1980,1,1,13.71
1980,1,2,13.33
1980,1,3,13.07
1980,1,4,12.84
1980,1,5,12.63
1980,1,6,12.42
1980,1,7,12.22
1980,1,8,12.02
1980,1,9,11.81
1980,1,10,11.61
1980,1,11,11.42
1980,1,12,11.21
1980,1,13,11.01
1980,1,14,10.84
1980,1,15,10.66
1980,1,16,10.46
1980,1,17,10.28
1980,1,18,130.88
1980,1,19,212.20
1980,1,20,126.68
1980,1,21,53.45
1980,1,22,27.52
1980,1,23,19.53
1980,1,24,17.16
1980,1,25,16.35
1980,1,26,15.95
1980,1,27,208.58
1980,1,28,306.47
1980,1,29,253.26
1980,1,30,152.34
1980,1,31,65.03
1980,2,1,36.39
1980,2,2,29.39
1980,2,3,27.38
1980,2,4,26.57
1980,2,5,26.06
1980,2,6,25.61
1980,2,7,25.16
1980,2,8,24.74
1980,2,9,24.33
1980,2,10,23.93
1980,2,11,23.53
1980,2,12,23.14
1980,2,13,22.73
1980,2,14,22.34
1980,2,15,21.97
1980,2,16,21.60
1980,2,17,21.24
1980,2,18,20.88
1980,2,19,20.55
1980,2,20,20.22
1980,2,21,19.88
1980,2,22,19.53
1980,2,23,19.19
1980,2,24,139.34
1980,2,25,252.71
1980,2,26,260.57
1980,2,27,184.41
1980,2,28,111.17
1980,2,29,85.60
1980,3,1,66.87
1980,3,2,47.00
1980,3,3,36.24
1980,3,4,31.76
1980,3,5,29.97
1980,3,6,29.10
1980,3,7,39.34
1980,3,8,37.61
1980,3,9,34.86
1980,3,10,32.59
1980,3,11,32.53
1980,3,12,29.33
1980,3,13,32.70
1980,3,14,29.64
1980,3,15,33.25
1980,3,16,116.32
1980,3,17,161.94
1980,3,18,82.77
1980,3,19,45.61
1980,3,20,33.19
1980,3,21,59.82
1980,3,22,99.74
1980,3,23,177.72
1980,3,24,227.24
1980,3,25,147.06
1980,3,26,83.19
1980,3,27,52.12
1980,3,28,39.89
1980,3,29,36.55
1980,3,30,42.89
1980,3,31,73.29
1980,4,1,200.65
1980,4,2,207.01
1980,4,3,109.77
1980,4,4,60.77
1980,4,5,44.13
1980,4,6,115.87
1980,4,7,109.46
1980,4,8,100.04
1980,4,9,65.22
1980,4,10,47.15
1980,4,11,40.42
1980,4,12,37.90
1980,4,13,36.72
1980,4,14,35.96
1980,4,15,35.33
1980,4,16,34.79
1980,4,17,34.26
1980,4,18,33.62
1980,4,19,33.11
1980,4,20,32.59
1980,4,21,32.03
1980,4,22,31.49
1980,4,23,30.96
1980,4,24,30.45
1980,4,25,29.93
1980,4,26,29.40
1980,4,27,28.84
1980,4,28,28.40
1980,4,29,27.98
1980,4,30,27.52
1980,5,1,27.02
1980,5,2,26.53
1980,5,3,26.08
1980,5,4,25.65
1980,5,5,25.13
1980,5,6,24.77
1980,5,7,24.37
1980,5,8,23.92
1980,5,9,23.53
1980,5,10,23.18
1980,5,11,22.82
1980,5,12,30.00
1980,5,13,104.80
1980,5,14,165.82
1980,5,15,85.15
1980,5,16,76.10
1980,5,17,254.80
1980,5,18,341.12
1980,5,19,316.50
1980,5,20,196.03
1980,5,21,94.00
1980,5,22,56.29
1980,5,23,43.73
1980,5,24,39.67
1980,5,25,38.11
1980,5,26,37.25
1980,5,27,36.62
1980,5,28,36.04
1980,5,29,35.42
1980,5,30,34.80
1980,5,31,34.15
1980,6,1,33.51
1980,6,2,32.88
1980,6,3,32.36
1980,6,4,31.88
1980,6,5,31.38
1980,6,6,30.93
1980,6,7,30.44
1980,6,8,29.92
1980,6,9,29.42
1980,6,10,28.94
1980,6,11,28.44
1980,6,12,27.84
1980,6,13,27.31
1980,6,14,26.92
1980,6,15,26.55
1980,6,16,26.09
1980,6,17,25.60
1980,6,18,25.17
1980,6,19,24.72
1980,6,20,24.26
1980,6,21,23.84
1980,6,22,23.39
1980,6,23,23.06
1980,6,24,22.73
1980,6,25,22.33
1980,6,26,21.92
1980,6,27,21.54
1980,6,28,21.14
1980,6,29,20.74
1980,6,30,20.38
1980,7,1,20.01
1980,7,2,19.65
1980,7,3,19.34
1980,7,4,19.00
1980,7,5,18.62
1980,7,6,18.33
1980,7,7,18.05
1980,7,8,17.72
1980,7,9,17.44
1980,7,10,17.15
1980,7,11,16.82
1980,7,12,16.48
1980,7,13,16.20
1980,7,14,15.92
1980,7,15,15.62
1980,7,16,15.44
1980,7,17,15.26
1980,7,18,15.03
1980,7,19,14.78
1980,7,20,14.52
1980,7,21,14.25
1980,7,22,14.01
1980,7,23,13.79
1980,7,24,13.53
1980,7,25,13.27
1980,7,26,13.07
1980,7,27,12.82
1980,7,28,12.61
1980,7,29,12.39
1980,7,30,12.16
1980,7,31,12.03
1980,8,1,11.84
1980,8,2,11.64
1980,8,3,11.39
1980,8,4,11.13
1980,8,5,10.90
1980,8,6,10.65
1980,8,7,10.50
1980,8,8,10.35
1980,8,9,10.24
1980,8,10,10.15
1980,8,11,10.00
1980,8,12,9.83
1980,8,13,9.70
1980,8,14,9.51
1980,8,15,9.32
1980,8,16,9.14
1980,8,17,8.97
1980,8,18,8.81
1980,8,19,8.60
1980,8,20,8.42
1980,8,21,11.24
1980,8,22,9.35
1980,8,23,8.46
1980,8,24,8.12
1980,8,25,7.95
1980,8,26,7.82
1980,8,27,7.68
1980,8,28,21.35
1980,8,29,14.90
1980,8,30,9.72
1980,8,31,8.01
1980,9,1,7.47
1980,9,2,7.23
1980,9,3,7.08
1980,9,4,7.29
1980,9,5,9.89
1980,9,6,7.92
1980,9,7,7.21
1980,9,8,14.90
1980,9,9,9.63
1980,9,10,7.39
1980,9,11,6.65
1980,9,12,6.38
1980,9,13,6.25
1980,9,14,6.13
1980,9,15,6.08
1980,9,16,6.01
1980,9,17,5.90
1980,9,18,5.79
1980,9,19,5.69
1980,9,20,5.60
1980,9,21,5.53
1980,9,22,5.44
1980,9,23,5.33
1980,9,24,5.22
1980,9,25,5.13
1980,9,26,5.05
1980,9,27,4.94
1980,9,28,4.90
1980,9,29,4.92
1980,9,30,4.78
1980,10,1,4.66
1980,10,2,4.57
1980,10,3,4.48
1980,10,4,4.41
1980,10,5,4.34
1980,10,6,4.24
1980,10,7,4.21
1980,10,8,54.04
1980,10,9,59.34
1980,10,10,27.65
1980,10,11,113.39
1980,10,12,60.60
1980,10,13,25.54
1980,10,14,13.55
1980,10,15,9.80
1980,10,16,8.63
1980,10,17,8.22
1980,10,18,8.03
1980,10,19,7.89
1980,10,20,7.74
1980,10,21,7.58
1980,10,22,7.43
1980,10,23,7.30
1980,10,24,7.18
1980,10,25,7.08
1980,10,26,6.98
1980,10,27,6.88
1980,10,28,6.77
1980,10,29,18.88
1980,10,30,38.99
1980,10,31,160.82
1980,11,1,272.15
1980,11,2,340.60
1980,11,3,351.26
1980,11,4,310.23
1980,11,5,188.34
1980,11,6,96.57
1980,11,7,58.14
1980,11,8,40.00
1980,11,9,32.87
1980,11,10,30.24
1980,11,11,29.12
1980,11,12,28.47
1980,11,13,27.95
1980,11,14,27.45
1980,11,15,128.75
1980,11,16,119.31
1980,11,17,62.83
1980,11,18,120.04
1980,11,19,181.64
1980,11,20,190.76
1980,11,21,105.14
1980,11,22,58.84
1980,11,23,41.81
1980,11,24,36.10
1980,11,25,34.10
1980,11,26,33.15
1980,11,27,33.22
1980,11,28,32.29
1980,11,29,32.05
1980,11,30,65.23
1980,12,1,45.15
1980,12,2,35.45
1980,12,3,72.79
1980,12,4,169.04
1980,12,5,92.04
1980,12,6,53.42
1980,12,7,38.65
1980,12,8,56.98
1980,12,9,41.01
1980,12,10,34.34
1980,12,11,31.76
1980,12,12,30.66
1980,12,13,29.99
1980,12,14,29.46
1980,12,15,28.96
1980,12,16,28.47
1980,12,17,47.32
1980,12,18,72.56
1980,12,19,40.93
1980,12,20,31.93
1980,12,21,28.37
1980,12,22,27.18
1980,12,23,56.92
1980,12,24,72.84
1980,12,25,41.82
1980,12,26,31.01
1980,12,27,78.64
1980,12,28,207.61
1980,12,29,159.13
1980,12,30,80.78
1980,12,31,46.96
1981,1,1,35.30
1981,1,2,31.52
1981,1,3,30.13
1981,1,4,29.43
1981,1,5,28.88
1981,1,6,28.39
1981,1,7,27.92
1981,1,8,27.44
1981,1,9,26.97
1981,1,10,26.52
1981,1,11,26.08
1981,1,12,25.65
1981,1,13,25.23
1981,1,14,24.81
1981,1,15,24.39
1981,1,16,23.98
1981,1,17,23.57
1981,1,18,23.17
1981,1,19,22.78
1981,1,20,24.74
1981,1,21,75.76
1981,1,22,46.61
1981,1,23,31.19
1981,1,24,24.96
1981,1,25,22.74
1981,1,26,21.85
1981,1,27,21.35
1981,1,28,20.96
1981,1,29,20.59
1981,1,30,20.23
1981,1,31,23.69
1981,2,1,23.78
1981,2,2,21.59
1981,2,3,19.89
